file_id,hsa-mir-100,hsa-mir-1-1,hsa-let-7e,hsa-let-7g,hsa-let-7d,hsa-mir-103a-2,hsa-mir-101-2,hsa-let-7a-2,hsa-let-7b,hsa-mir-1-2,hsa-let-7f-1,hsa-let-7c,hsa-mir-103b-2,hsa-let-7f-2,hsa-mir-101-1,hsa-let-7i,hsa-mir-103a-1,hsa-mir-103b-1,hsa-let-7a-1,hsa-let-7a-3,label
a462dfc9-cefa-4b9e-9f40-536293aeda9e,889,11,5095,2343,1700,14874,15179,37851,23749,6,32661,4681,0,33499,15133,1143,14928,0,37999,37860,1
a320f068-228a-4ec2-8e43-03d3b4574d77,17059,15,2483,1240,2428,10930,23029,15183,33234,22,3656,6142,0,3713,22941,1181,11076,0,15081,15231,1
05519481-9138-492d-a544-12651c517ac8,16739,9,3778,1981,2818,19321,34312,29882,63799,10,12517,8570,0,12466,33799,2551,19486,0,29721,30623,1
294589d0-d39c-4e04-8ee1-a0683eaa3f4b,2556,3,1016,1007,1134,3909,15257,8078,23433,7,2109,586,0,2218,15376,534,3848,0,8196,8304,1
0752c505-690a-46c8-897d-57566e559182,7881,22,5884,2391,2404,24579,26442,23507,41903,21,6028,5518,0,6188,26499,1099,24362,0,23431,23629,1
0c1df77d-ecb9-45b7-b680-981d68ef9c09,26835,7,883,1025,667,6530,12160,10371,34075,4,2586,2819,0,2595,12344,1473,6392,0,10344,10364,1
a4adb052-a5b5-4d2a-909b-cabeea55f49e,14612,30,3123,1580,1603,12681,25234,25481,79018,29,6624,6243,0,6641,25351,1416,12781,0,25849,25758,1
02aa1cc4-ebb0-415f-b6be-093b1c726887,43177,31,6803,3395,3256,28820,92614,61172,126140,46,16044,21773,0,16038,92437,1777,28845,0,60718,61120,0
a68df848-cafc-4181-ab75-e6dc57e52330,16983,8,1581,1183,1308,27849,13204,8898,24730,11,2095,3956,0,2150,12963,1651,27832,0,8901,8922,1
04940285-f506-4c42-bac6-5ec15df76b1b,5174,6,4754,1783,946,65758,26731,30077,18354,6,24891,1183,0,26045,25834,2639,65686,0,30339,30246,1
3b9341e8-25f2-4428-a80f-c850a94926a5,5198,0,4688,7095,3199,27787,39767,65339,59743,1,46843,12134,0,47776,39153,1545,27687,0,65937,65390,1
4648b210-d1ea-41b1-a8a3-aa0798498613,4097,3,1535,1069,2038,27534,18178,12242,45145,6,3041,5632,0,3306,18005,1805,27958,0,12273,12500,1
cdb898a6-07d6-417c-9b69-2733d016c8aa,339,0,467,598,715,17255,6390,7719,36915,0,1543,5766,0,1521,6421,1424,17531,0,7768,7722,1
90f0cc38-fce0-429a-be34-78a91cdab090,10845,22,5500,4011,2113,54509,25822,18266,21068,17,9608,2161,0,9688,25350,3436,54696,0,18260,18181,1
a2ee0127-0737-46cd-a061-3216c7514001,10186,7,1877,839,910,5802,4926,14668,20224,6,6583,2695,0,6558,4951,767,5716,0,14759,14762,1
65b22f65-19a1-4ead-9b96-26c0d0993071,17553,3,1937,773,1250,9241,36298,19004,48417,2,6769,5475,0,6904,36509,934,9162,0,18856,19148,1
2fa2ab18-c0ee-4162-97b4-95dca87655d3,2435,53,2710,2569,657,13233,6042,21043,12697,40,19392,5964,0,19720,5936,559,13104,0,21092,21079,1
5b732ae8-4294-482f-ba78-e8d351713319,11364,7,5603,3454,2373,53584,46401,20723,8872,5,14966,1302,0,15120,45832,1462,53717,0,20772,20861,1
ed6698ad-213d-4396-ad08-91682aa540ed,7082,23,16137,891,435,75989,6913,21885,11997,23,7869,2300,0,8097,6718,486,75999,0,22056,22493,1
7227589f-593c-4f3a-b650-482e9d042428,7819,35,4158,1978,838,10849,12706,18112,14827,21,15602,5038,0,15885,12573,479,10975,0,18033,18300,0
3a9e44c5-a2b3-4a5c-a6d6-6a89bdc47bd5,2698,1,5350,2688,2758,28415,53529,58654,109424,3,17437,12072,0,17775,53044,2255,28631,0,59207,59330,1
d8009418-a831-4421-9b63-5e848f3de99d,3781,5,1356,954,1460,8038,14547,10643,32896,13,2318,5083,0,2380,14552,804,8173,0,10666,10721,1
837f1283-daf1-42b4-a1ec-7a2469aa87f8,9288,31,5180,1800,839,9541,8356,32809,28920,31,29638,5460,0,30384,8501,893,9703,0,32571,32362,1
d1e18c13-a57c-4b90-a44f-ea39ba584095,2148,8,903,1059,1367,12623,18563,10330,25886,20,3073,2940,0,2894,18733,979,12610,0,10292,10674,1
694f783a-f027-4372-9ca8-bfb65e099f6f,342880,17,23730,4467,4653,131258,34133,93439,59624,15,26128,162287,0,26985,33242,2274,129889,0,93133,93354,1
7f78e097-9ead-48d2-9955-c487e977b180,23814,92,7509,4371,2528,76374,35711,100630,82722,116,86178,11553,0,87866,35186,3100,75993,0,100801,100449,1
7548d2f9-a2e7-41dd-93de-402aaee09c8e,8609,4,2861,1685,3179,40519,32370,19504,48873,2,6019,10753,0,6191,31701,1959,40081,0,19906,20014,1
d4b9d636-a1b2-40cc-a0b9-2e7f48322ce7,8615,4,3999,3162,1556,51301,37818,33620,30013,2,17340,10359,0,17092,37405,1735,51110,0,33691,33808,1
0be40f48-e3bd-4757-90b4-c9b04587ea5b,6253,3,10613,3822,2286,28765,15123,14656,3405,2,16170,3607,0,16558,14981,2971,29053,0,14580,14780,1
730458bc-7445-4aec-a28c-958a46586b10,10789,1,753,456,470,12987,4550,4939,19533,2,1404,2658,0,1486,4431,928,12809,0,5028,5099,1
b4dd68d7-3ed4-4946-9af0-b27d0232aa67,39230,37,5956,3155,2290,23937,33277,44372,52676,36,22916,11422,0,23169,33144,2337,24031,0,44433,44573,1
f6c08492-1861-44ca-8a86-84a2e693ba6e,56946,30,7258,6030,3418,22741,142275,92380,85354,28,43018,14784,0,43650,141724,2253,22704,0,92832,92721,1
3ce992ba-762e-4093-b727-bca71966a658,815,1,2922,3385,1440,43468,22148,35310,44436,1,18859,24931,0,18906,22127,1220,43484,0,35043,35851,1
3913b712-b445-40be-a521-ca1e1baec543,9076,1,4893,3159,2786,37166,25004,18051,12661,1,7013,5991,0,7009,24788,1724,36874,0,17950,18101,1
0da3c3b0-8baf-4725-a863-d761ca7e2de8,24926,32,11089,3796,3513,53077,95608,71371,60677,33,40422,9753,0,41588,94739,3148,52630,0,71481,72221,1
20ba95d6-4bfc-4e78-b305-2ea0024b52e2,2598,2,1379,809,1371,7476,17914,15445,38959,3,5976,5418,0,5925,17685,1160,7394,0,15715,15775,1
61b80016-b6ab-4951-8885-c7c4682b02ea,7715,3,7569,2305,2495,68048,14905,24660,5292,4,21408,3803,0,22173,14687,1073,68193,0,24710,24919,1
